0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:24 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:24 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:53:24 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:54:54 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:54:54 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:54:54 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:54:54 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:54:54 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:54:55 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:14 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:15 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:15 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:15 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:15 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:15 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:33 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:33 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:33 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:33 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:33 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:34 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:47 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:47 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:47 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:47 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:47 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:55:49 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:07 +0200] "GET /Alumni-2/signedup.html HTTP/1.1" 200 2364
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:07 +0200] "GET /Alumni-2/css/site_styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:07 +0200] "GET /Alumni-2/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Sep/2016:10:56:07 +0200] "GET /Alumni-2/css/animate.css HTTP/1.1" 304 -
