127.0.0.1 - - [16/Oct/2016:22:30:05 +0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:34:22 +0200] "GET /Alumni-2/css/forum.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:34:22 +0200] "GET /Alumni-2/css/nav_style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:34:22 +0200] "GET /Alumni-2/uct-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:34:22 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 60963
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:35:12 +0200] "POST /Alumni-2/Like_Post HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:35:14 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 37378
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:35:15 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 60963
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:38:03 +0200] "POST /Alumni-2/Post HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:38:05 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 40592
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:38:05 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 60963
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:41:33 +0200] "POST /Alumni-2/Post HTTP/1.1" 500 3407
196.24.140.33 - - [16/Oct/2016:22:43:45 +0200] "GET /requests/status.json HTTP/1.1" 404 991
196.24.140.33 - - [16/Oct/2016:22:43:50 +0200] "GET /requests/status.json HTTP/1.1" 404 991
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:45:53 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6609
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:45:53 +0200] "GET /Alumni-2/css/cv.css HTTP/1.1" 200 2390
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:45:53 +0200] "GET /Alumni-2/jQuery/navigation-script.js HTTP/1.1" 200 377
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:45:54 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:26 +0200] "GET /Alumni-2/JSP/UpdateProfile.jsp HTTP/1.1" 200 8092
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:26 +0200] "GET /Alumni-2/css/updateProfile.css HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:26 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:38 +0200] "POST /Alumni-2/UpdateProfile HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:39 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:40 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:46 +0200] "GET /Alumni-2/JSP/UpdateProfile.jsp HTTP/1.1" 200 8106
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:46 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:57 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 60963
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:46:57 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 40592
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:47:15 +0200] "GET /Alumni-2/JSP/CV.jsp HTTP/1.1" 200 6623
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:47:15 +0200] "GET /Alumni-2/ImageUpload HTTP/1.1" 200 53774
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:47:21 +0200] "GET /Alumni-2/Post HTTP/1.1" 200 60963
0:0:0:0:0:0:0:1 - - [16/Oct/2016:22:47:22 +0200] "GET /Alumni-2/JSP/Forum.jsp HTTP/1.1" 200 40592
196.24.140.33 - - [16/Oct/2016:22:52:58 +0200] "GET /requests/status.json HTTP/1.1" 404 991
196.24.140.33 - - [16/Oct/2016:22:53:02 +0200] "GET /requests/status.json HTTP/1.1" 404 991
